CIDER DB	Source	Source_ID		OrchardDB v0.1	Source
			FALSE	Cladosporium sphaerospermum UM 843	
			FALSE	Claviceps purpurea 20.1	
			FALSE	Coccomyxa subellipsoidea C-169	
			FALSE	Coemansia spiralis	
			FALSE	Coemansia spiralis RSA 1278	
			FALSE	Cokeromyces recurvatus	
			FALSE	Cokeromyces recurvatus NRRL 2243	
			FALSE	Colletotrichum chlorophyti	
			FALSE	Colletotrichum fioriniae MH 18	
			FALSE	Colletotrichum gloeosporioides Cg-14	
			FALSE	Colletotrichum graminicola M1.001	
			FALSE	Colletotrichum incanum	
			FALSE	Colletotrichum navitas CBS 125086	
			FALSE	Colletotrichum navitas CBS125086	
			FALSE	Colletotrichum tofieldiae	
			FALSE	Colletotrichum tofieldiae 0861	
			FALSE	Colobus angolensis palliatus	
			FALSE	Coniella lustricola B22-T-1	
			FALSE	Coprinopsis cinerea okayama7#130	
			FALSE	Corchorus capsularis	
			FALSE	Cordyceps brongniartii RCEF 3172	
			FALSE	Cordyceps confragosa	
			FALSE	Cordyceps confragosa RCEF 1005	
			FALSE	Corynespora cassiicola CCP	
			FALSE	Crassisporium funariophilum DOB1098	
			FALSE	Cryptococcus amylolentus CBS 6039	
			FALSE	Cryptococcus amylolentus CBS 6273	
			FALSE	Cryptococcus depauperatus CBS 7841	
			FALSE	Cryptococcus depauperatus CBS 7855	
			FALSE	Cryptococcus gattii CA1280	
			FALSE	Cryptococcus gattii CA1873	
			FALSE	Cryptococcus gattii E566	
			FALSE	Cryptococcus gattii EJB2	
			FALSE	Cryptococcus gattii NT-10	
			FALSE	Cryptococcus gattii Ru294	
			FALSE	Cryptococcus gattii VGII 2001/935-1	
			FALSE	Cryptococcus gattii VGII 99/473	
			FALSE	Cryptococcus gattii VGII CA1014	
			FALSE	Cryptococcus gattii VGII CBS 10090	
			FALSE	Cryptococcus gattii VGII LA55	
			FALSE	Cryptococcus gattii VGII MMRL2647	
			FALSE	Cryptococcus gattii VGII R265	
			FALSE	Cryptococcus gattii VGII Ram5	
			FALSE	Cryptococcus gattii VGIV IND107	
			FALSE	Cryptodiaporthe sp. AZ0812	
			FALSE	Cryptomonas paramecium	
			FALSE	Cryptophyceae sp. CCMP2293	
			FALSE	Cryptosporidium andersoni	
			FALSE	Cryptosporidium hominis TU502	
			FALSE	Cryptosporidium parvum Iowa II	
			FALSE	Cryptosporidium tyzzeri	
			FALSE	Cryptosporidium ubiquitum	
			FALSE	Cunninghamella echinulata	
			FALSE	Cunninghamella echinulata NRRL 1382	
