Bombom1_GeneCatalog_proteins_20170616.aa.fasta	252184	DNA	v1.0	
Botbo1_GeneCatalog_proteins_20110803.aa.fasta	264124	DNA	v1.0	24958869
Botci1_GeneCatalog_proteins_20110903.aa.fasta	40559	DNA	v1.0	23104368
Botdo1_1_GeneCatalog_proteins_20150128.aa.fasta	55169	DNA		
Bulin1_GeneCatalog_proteins_20160325.aa.fasta	73172	DNA	v1.0	
Bysci1_GeneCatalog_proteins_20140627.aa.fasta	147558	DNA	v1.0	
Bysni1_GeneCatalog_proteins_20180319.aa.fasta  	5093	DNA	v1.0	
Byssp1_GeneCatalog_proteins_20170705.aa.fasta	1356009	DNA		24407650
Cadsp1_GeneCatalog_proteins_20140317.aa.fasta	1485229	DNA	v1.0	29679020
Caecom1_GeneCatalog_proteins_20171213.aa.fasta 	2019372	DNA	v1.0	
Calco1_GeneCatalog_proteins_20130417.aa.fasta	29889	DNA	v1.0	26659563
Calful1_GeneCatalog_proteins_20160326.aa.fasta	47187	DNA	v1.0	
Calor1_GeneCatalog_proteins_20130726.aa.fasta	380014	DNA		
Calpu1_GeneCatalog_proteins_20130805.aa.fasta	312312	DNA		
Calvi1_GeneCatalog_proteins_20130829.aa.fasta	63146	DNA	v1.0	26659563
Canalb1_GeneCatalog_proteins_20161025.aa.fasta	237561	DNA		15123810
Cananz1_GeneCatalog_proteins_20160317.aa.fasta	1750568	DNA	v1.0	
Canar1_GeneCatalog_proteins_20111127.aa.fasta	983967	DNA	v1.0	27535936
Canca1_GeneCatalog_proteins_20110525.aa.fasta	51930	DNA	v1.0	27535936
Canta1_GeneCatalog_proteins_20120131.aa.fasta	984487	DNA	v1.0	27535936
Cante1_filtered_proteins_v1_1.fasta	45596	DNA	v1.0	21788494
Capcor1_GeneCatalog_proteins_20160902.aa.fasta	1182541	DNA		28348446
Capep1_GeneCatalog_proteins_20160831.aa.fasta	1182542	DNA		28348446
Capse1_GeneCatalog_proteins_20160902.aa.fasta	5601	DNA		28348446
Catan2_GeneCatalog_proteins_20160412.aa.fasta	765915	DNA	v2.0	28481340
Caupr1_GeneCatalog_proteins_20150107.aa.fasta	1555241	DNA	v1.0	
Cenge3_GeneCatalog_proteins_20130403.aa.fasta	794803	DNA	v2.0	27601008
Cepal1_1_GeneCatalog_proteins_20150113.aa.fasta	43958	DNA	v1.0	
Cepfr1_1_GeneCatalog_proteins_20150115.aa.fasta	27311	DNA	v1.0	
CerAGI_GeneCatalog_proteins_20150524.aa.fasta	5251	DNA	v1.0	
Cercau1_GeneCatalog_proteins_20170822.aa.fasta	314043	DNA	v1.0	
Cercer1_GeneCatalog_proteins_20160510.aa.fasta	1175230	DNA	v1.0	
Ceriporiopsis_subvermispora.proteins.fasta	914234	DNA		22434909
Cernew1_GeneCatalog_proteins_20170729.aa.fasta	92897	DNA	v1.0	
Cersc1_GeneCatalog_proteins_20171129.aa.fasta	314031	DNA	v1.0	
Cersp1_GeneCatalog_proteins_20150406.aa.fasta	1522189	DNA	v1.0	
Cerun2_GeneCatalog_proteins_20130111.aa.fasta	90312	DNA	v1.1	
Cerzm1_GeneCatalog_proteins_20111029.aa.fasta	135779	DNA	v1.0	
Chafi1_GeneCatalog_proteins_20180308.aa.fasta 	1854472	DNA	v1.0	
Chagl_1_GeneModels_BroadGeneModels_aa.fasta	38033	DNA	v1.0	21964414
Chain1_GeneCatalog_proteins_20130808.aa.fasta	139949	DNA		
Chalo1_GeneCatalog_proteins_20130611.aa.fasta	1379296	DNA	v1.0	
