Phycomyces nitens S609,Phycomyces nitens,269771,FALSE
Phyllosticta capitalensis CBS 128856,Phyllosticta capitalensis,121624,FALSE
Phyllosticta citribraziliensis CBS 100098,Phyllosticta citribraziliensis,989973,FALSE
Phyllosticta citricarpa CBS 127454,Phyllosticta citricarpa,55181,FALSE
Phyllosticta citrichinaensis CBS 130529,Phyllosticta citrichinaensis,1130410,FALSE
Pilaira anomala RSA1997,Pilaira anomala,64641,FALSE
Pilobolus umbonatus NRRL 6349,Pilobolus umbonatus,101123,FALSE
Piptocephalis cylindrospora RSA 2659,Piptocephalis cylindrospora,1907219,FALSE
Plectosphaerella cucumerina RP01,Plectosphaerella cucumerina,40658,FALSE
Podospora didyma CBS 232.78,Podospora didyma,330526,FALSE
Polyporus squamosus CCBS 676,Polyporus squamosus,5640,FALSE
Pseudomicrostroma glucosiphilum gen et sp. nov. MCA 4718,Pseudomicrostroma glucosiphilum,1684307,FALSE
Puccinia coronata avenae 12NC29,Puccinia coronata,27344,FALSE
Puccinia coronata avenae 12SD80,Puccinia coronata,27344,FALSE
Puccinia striiformis f. sp. tritici 104 E137 A-,Puccinia striiformis,27350,FALSE
Pyrenochaeta lycopersici ISPaVe ER 1252,Pseudopyrenochaeta lycopersici,285811,FALSE
Rhizophagus irregularis A1,Rhizophagus irregularis,588596,FALSE
Rhizophagus irregularis A4,Rhizophagus irregularis,588596,FALSE
Rhizophagus irregularis A5,Rhizophagus irregularis,588596,FALSE
Rhizophagus irregularis B3,Rhizophagus irregularis,1330081,FALSE
Rhizophagus irregularis C2,Rhizophagus irregularis,588596,FALSE
Rhizopogon vesiculosus Smith,Rhizopogon vesiculosus,180088,FALSE
Rhodofomes roseus CIRM-BRFM 1785,Fomitopsis rosea,34475,FALSE
Rhodosporidium toruloides ATCC26217,Rhodotorula toruloides,5286,FALSE
Rhodotorula mucilaginosa ATCC58901,Rhodotorula mucilaginosa,5537,FALSE
Rhodotorula sp. J31,Rhodotorula sp.,1853554,FALSE
Rigidoporus microporus ED310,Rigidoporus microporus,219653,FALSE
Russula compacta BPL669,Russula compacta,40490,FALSE
Russula rugulosa BPL654,Russula rugulosa,1935383,FALSE
Russula vinacea BPL710,Russula vinacea,517384,FALSE
Schizothecium vesticola SMH3187-1,Schizothecium vesticola,314040,FALSE
Sclerophora sanguinea CBS100924,Sclerophora sanguinea,1410009,FALSE
Serendipita sp. 407,Serendipita sp.,1965286,FALSE
Smittium culicis GSMNP,Smittium culicis,133412,FALSE
Smittium culicis ID-206-W2,Smittium culicis,133412,FALSE
Smittium mucronatum ALG-7-W6,Smittium mucronatum,133383,FALSE
Sordaria brevicollis FGSC1904,Sordaria brevicollis,83679,FALSE
Sporodiniella umbellata MES 1446,Sporodiniella umbellata,101117,FALSE
Stachybotrys elegans LAHC-LSPK-M15,Stachybotrys elegans,80388,FALSE
Stemphylium lycopersici CIDEFI-216,Stemphylium lycopersici,183478,FALSE
Suillus cothurnatus VC 1858,Suillus cothurnatus,48568,FALSE
Suillus subaureus MN1,Suillus subaureus,48587,FALSE
Suillus tomentosus FC115,Suillus tomentosus,48589,FALSE
Syncephalis pseudoplumigaleata Benny S71-1,Syncephalis pseudoplumigaleata,1712513,FALSE
Terfezia claveryi T7,Terfezia claveryi,10760,FALSE
Thamnocephalis sphaerospora RSA 1356,Thamnocephalis sphaerospora,78915,FALSE
Thanatephorus cucumeris PT424,Thanatephorus cucumeris,107832,FALSE
Tolypocladium inflatum NRRL 8044,Tolypocladium inflatum,29910,FALSE
Tortispora caseinolytica Y-17796,Tortispora caseinolytica,51930,FALSE
Trametes gibbosa CIRM-BRFM 1770,Trametes gibbosa,160864,FALSE
Trametes maxima CIRM-BRFM 1813,Trametes maxima,259368,FALSE
Trametes meyenii CIRM-BRFM 1810,Trametes meyenii,526243,FALSE
Trametes polyzona CIRM-BRFM 1798,Trametes polyzona,239206,FALSE
Trametes pubescens FBCC735,Trametes pubescens,154538,FALSE
Trichoderma gamsii T6085,Trichoderma gamsii,398673,FALSE
Truncatella angustata HP017,Truncatella angustata,152316,FALSE
Tulasnella calospora UAMH 9824,Tulasnella calospora,156515,FALSE
Umbelopsis isabellina AD026,Umbelopsis isabellina,91625,FALSE
Violaceomyces palustris SA 807,Violaceomyces palustris,1673888,FALSE
Vuilleminia comedens VcCUCC2015_SSI6,Vuilleminia comedens,47058,FALSE
Zancudomyces culisetae COL-18-3,Zancudomyces culisetae,1213189,FALSE
Zymoseptoria brevis Zb18110,Zymoseptoria brevis,1047168,FALSE
Aspergillus acristatulus CBS 119.55,Aspergillus nidulans var. acristatus,286159,TRUE
Aspergillus indicus,Aspergillus terricola var. indicus,138288,TRUE
Blastomyces dermatitidis SLH14081,Blastomyces gilchristii SLH14081,559298,TRUE
Cryptodiaporthe sp. AZ0812,Cryptodiaporthe,148326,TRUE
Fennellomyces sp. T-0311,Fennellomyces,101135,TRUE
Gelasinospora tetrasperma,Neurospora tetraspora,94610,TRUE
Lasiosphaeria miniovina SMH2392-1A,Lasiosphaeria sp. SMH2392-1A,1954250,TRUE
Lecythophora sp. AK0013,Coniochaeta sp. AK0013,1884255,TRUE
Leptodontium sp. PMI_412,Leptodontidium sp. 2 PMI_412,1485227,TRUE
Paecilomyces variotii CBS 101075,Byssochlamys spectabilis,264951,TRUE
