Name		OLD JGI ID	OLD NCBI Tax ID	JGI ID	Version	Publication	Portal Link
Spathaspora arborariae UFMG-HMD-19.1	FALSE			Spaarb1	v1.0		https://mycocosm.jgi.doe.gov/Spaarb1
Sporobolomyces gracilis NRRL Y-5504	FALSE			Spogra1_1	v1.0		https://mycocosm.jgi.doe.gov/Spogra1_1
Stomiopeltis betulae CBS114420	FALSE			Stobe1	v1.0		https://mycocosm.jgi.doe.gov/Stobe1
Suillus ampliporus FC55	FALSE			Suiamp1	v1.0		https://mycocosm.jgi.doe.gov/Suiamp1
Suillus bovinus UH-Sbo-P2	FALSE			Suibov1	v1.0		https://mycocosm.jgi.doe.gov/Suibov1
Suillus clintonianus FC179	FALSE			Suicli1	v1.0		https://mycocosm.jgi.doe.gov/Suicli1
Suillus fuscotomentosus FC203	FALSE			Suifus1	v1.0		https://mycocosm.jgi.doe.gov/Suifus1
Suillus lakei FC43	FALSE			Suilak1	v1.0		https://mycocosm.jgi.doe.gov/Suilak1
Suillus occidentalis FC124	FALSE			Suiocc1	v1.0		https://mycocosm.jgi.doe.gov/Suiocc1
Suillus paluster FC165	FALSE			Suipal1	v1.0		https://mycocosm.jgi.doe.gov/Suipal1
Suillus placidus DOB743	FALSE			Suipla1	v1.0		https://mycocosm.jgi.doe.gov/Suipla1
Suillus variegatus UH-Sva-Z1	FALSE			Suivar1	v1.0		https://mycocosm.jgi.doe.gov/Suivar1
Taphrina populi-salicis CBS419.54	FALSE			Tappo1	v1.0		https://mycocosm.jgi.doe.gov/Tappo1
Teratosphaeriaceae  sp. NC1134	FALSE			TerNC1134_1	v1.0		https://mycocosm.jgi.doe.gov/TerNC1134_1
Thermoascus aurantiacus ATCC26904	FALSE			Theau2	v2.0		https://mycocosm.jgi.doe.gov/Theau2
Thelephora terrestris UH-Tt-Lm1 	FALSE			Theter1	v1.0		https://mycocosm.jgi.doe.gov/Theter1
Penicillium sp. NC0857	FALSE			ThyNC0857_1	v1.0		https://mycocosm.jgi.doe.gov/ThyNC0857_1
Tirmania nivea G3	FALSE			Tirniv1	v1.0		https://mycocosm.jgi.doe.gov/Tirniv1
Triparticalcar arcticum BR59	FALSE			Triarc1	v1.0		https://mycocosm.jgi.doe.gov/Triarc1
Trichoderma arundinaceum IBT 40837	FALSE			Triaru1		29649280	https://mycocosm.jgi.doe.gov/Triaru1
Trichoderma atroviride B10	FALSE			Triatr1	v1.0		https://mycocosm.jgi.doe.gov/Triatr1
Trichoderma atroviride F7	FALSE			Triatro1	v1.0		https://mycocosm.jgi.doe.gov/Triatro1
Trichoderma atrobrunneum ITEM 908	FALSE			Triatrob1		30200883	https://mycocosm.jgi.doe.gov/Triatrob1
Trichoderma atroviride P1	FALSE			Triatrov1	v1.0		https://mycocosm.jgi.doe.gov/Triatrov1
Trichoderma brevicompactum IBT40841	FALSE			Tribre1		29649280	https://mycocosm.jgi.doe.gov/Tribre1
Trinosporium guianense CBS132537	FALSE			Trigu1	v1.0		https://mycocosm.jgi.doe.gov/Trigu1
Trichoderma guizhouense NJAU 4742	FALSE	Trigu1	1196434	Trigui1		29630596	https://mycocosm.jgi.doe.gov/Trigui1
Trichoderma hamatum GD12	FALSE			Triham1		23908658	https://mycocosm.jgi.doe.gov/Triham1
Trichoderma harzianum M10	FALSE			TriharM10_1	v1.0		https://mycocosm.jgi.doe.gov/TriharM10_1
Trichoderma harzianum T22	FALSE			TriharT22_1	v1.0		https://mycocosm.jgi.doe.gov/TriharT22_1
Trichoderma longibrachiatum MK1	FALSE			Trilon1	v1.0		https://mycocosm.jgi.doe.gov/Trilon1
Trichoderma parareesei CBS 125925	FALSE			Tripar1		26272569	https://mycocosm.jgi.doe.gov/Tripar1
Trichoderma pleuroti TPhu1	FALSE			Triple1		28261948	https://mycocosm.jgi.doe.gov/Triple1
Trichoderma reesei QM6a	FALSE			Trire_Chr		28690679	https://mycocosm.jgi.doe.gov/Trire_Chr
Tuber aestivum var. urcinatum	FALSE			Tubae1	v1.0	30420746	https://mycocosm.jgi.doe.gov/Tubae1
Tuber magnatum	FALSE			Tubma1	v1.0	30420746	https://mycocosm.jgi.doe.gov/Tubma1
Typhula sp. TRa3160C	FALSE			TyphTRa3160C_1	v1.0		https://mycocosm.jgi.doe.gov/TyphTRa3160C_1
Umbelopsis sp. PMI_123	FALSE			Umbelo1	v1.0		https://mycocosm.jgi.doe.gov/Umbelo1
Urocystis occulta CBS 102.71	FALSE			Uroocc1	v1.0		https://mycocosm.jgi.doe.gov/Uroocc1
Veluticeps abietina OMC1657	FALSE			Velabi1	v1.0		https://mycocosm.jgi.doe.gov/Velabi1
Verticillium dahliae MPI-CAGE-AT-0001	FALSE			Verdah1	v1.0		https://mycocosm.jgi.doe.gov/Verdah1
Xylariomycetidae sp. FL0641	FALSE			XyFL0641_1	v1.0		https://mycocosm.jgi.doe.gov/XyFL0641_1
Xylaria sp. FL1777	FALSE			XyFL1777_1	v1.0		https://mycocosm.jgi.doe.gov/XyFL1777_1
Xylaria acuta CBS 122032	FALSE			Xylacu1	v1.0		https://mycocosm.jgi.doe.gov/Xylacu1
Xylaria arbuscula CBS 124340	FALSE			Xylarb124340_1	v1.0		https://mycocosm.jgi.doe.gov/Xylarb124340_1
Xylaria arbuscula FL1030	FALSE			XylarbFL1030	v1.0		https://mycocosm.jgi.doe.gov/XylarbFL1030
Xylaria bambusicola CBS 139988	FALSE			Xylbam139988_1	v1.0		https://mycocosm.jgi.doe.gov/Xylbam139988_1
Xylaria cf. castorea CBS 124033	FALSE			Xylcas124033_1	v1.0		https://mycocosm.jgi.doe.gov/Xylcas124033_1
Xylaria flabelliformis NC1011	FALSE			Xylcub1	v1.0		https://mycocosm.jgi.doe.gov/Xylcub1
Xylaria cubensis CBS 116.85	FALSE			Xylcube1	v1.0		https://mycocosm.jgi.doe.gov/Xylcube1
Xylaria curta CBS 114988	FALSE			Xylcur114988_1	v1.0		https://mycocosm.jgi.doe.gov/Xylcur114988_1
Xylariaceae sp. FL0016	FALSE			XylFL0016	v1.0		https://mycocosm.jgi.doe.gov/XylFL0016
Xylaria sp. FL0043	FALSE			XylFL0043	v1.0		https://mycocosm.jgi.doe.gov/XylFL0043
Xylariaceae sp. FL0255	FALSE			XylFL0255	v1.0		https://mycocosm.jgi.doe.gov/XylFL0255
Xylariaceae sp. FL0594	FALSE			XylFL0594	v1.0		https://mycocosm.jgi.doe.gov/XylFL0594
Xylariaceae sp. FL0662B	FALSE			XylFL0662B	v1.0		https://mycocosm.jgi.doe.gov/XylFL0662B
Xylaria sp. FL0933	FALSE			XylFL0933	v1.0		https://mycocosm.jgi.doe.gov/XylFL0933
Xylariaceae sp. FL1019	FALSE			XylFL1019	v1.0		https://mycocosm.jgi.doe.gov/XylFL1019
Xylaria sp. FL1042	FALSE			XylFL1042	v1.0		https://mycocosm.jgi.doe.gov/XylFL1042
Xylariaceae sp. FL1651	FALSE			XylFL1651	v1.0		https://mycocosm.jgi.doe.gov/XylFL1651
Xylariomycetidae sp. FL2044	FALSE			XylFL2044	v1.0		https://mycocosm.jgi.doe.gov/XylFL2044
